,Nombre,Código NIF,Localidad,Coordenada - X,Coordenada - Y,Ultimo año disponible,Ultimo número empleados,No of companies in corporate group,Código primario CNAE 2009,Literal código CNAE 2009 primario,Descripción actividad,"Ingresos de explotación
EUR
Últ. año disp.","Ingresos de explotación
EUR
2020","Ingresos de explotación
EUR
2019","Ingresos de explotación
EUR
2018","Ingresos de explotación
EUR
2017","Ingresos de explotación
EUR
2016","Ingresos de explotación
EUR
2015","Ingresos de explotación
EUR
2014","Ingresos de explotación
EUR
2013","Ingresos de explotación
EUR
2012","Ingresos de explotación
EUR
2011","Ingresos de explotación
EUR
2010","Resultado del Ejercicio
EUR
Últ. año disp.","Resultado del Ejercicio
EUR
2020","Resultado del Ejercicio
EUR
2019","Resultado del Ejercicio
EUR
2018","Resultado del Ejercicio
EUR
2017","Resultado del Ejercicio
EUR
2016","Resultado del Ejercicio
EUR
2015","Resultado del Ejercicio
EUR
2014","Resultado del Ejercicio
EUR
2013","Resultado del Ejercicio
EUR
2012","Resultado del Ejercicio
EUR
2011","Resultado del Ejercicio
EUR
2010","Rentabilidad económica (%)
%
Últ. año disp.","Rentabilidad económica (%)
%
2020","Rentabilidad económica (%)
%
2019","Rentabilidad económica (%)
%
2018","Rentabilidad económica (%)
%
2017","Rentabilidad económica (%)
%
2016","Rentabilidad económica (%)
%
2015","Rentabilidad económica (%)
%
2014","Rentabilidad económica (%)
%
2013","Rentabilidad económica (%)
%
2012","Rentabilidad económica (%)
%
2011","Rentabilidad económica (%)
%
2010","Rentabilidad financiera (%)
%
Últ. año disp.","Rentabilidad financiera (%)
%
2020","Rentabilidad financiera (%)
%
2019","Rentabilidad financiera (%)
%
2018","Rentabilidad financiera (%)
%
2017","Rentabilidad financiera (%)
%
2016","Rentabilidad financiera (%)
%
2015","Rentabilidad financiera (%)
%
2014","Rentabilidad financiera (%)
%
2013","Rentabilidad financiera (%)
%
2012","Rentabilidad financiera (%)
%
2011","Rentabilidad financiera (%)
%
2010","Liquidez general
%
Últ. año disp.","Liquidez general
%
2020","Liquidez general
%
2019","Liquidez general
%
2018","Liquidez general
%
2017","Liquidez general
%
2016","Liquidez general
%
2015","Liquidez general
%
2014","Liquidez general
%
2013","Liquidez general
%
2012","Liquidez general
%
2011","Liquidez general
%
2010","Endeudamiento (%)
%
Últ. año disp.","Endeudamiento (%)
%
2020","Endeudamiento (%)
%
2019","Endeudamiento (%)
%
2018","Endeudamiento (%)
%
2017","Endeudamiento (%)
%
2016","Endeudamiento (%)
%
2015","Endeudamiento (%)
%
2014","Endeudamiento (%)
%
2013","Endeudamiento (%)
%
2012","Endeudamiento (%)
%
2011","Endeudamiento (%)
%
2010","Número empleados
Últ. año disp.","Número empleados
2020","Número empleados
2019","Número empleados
2018","Número empleados
2017","Número empleados
2016","Número empleados
2015","Número empleados
2014","Número empleados
2013","Número empleados
2012","Número empleados
2011","Número empleados
2010","Distribución - Mujeres
Últ. año disp.","Distribución - Mujeres
2020","Distribución - Mujeres
2019","Distribución - Mujeres
2018","Distribución - Mujeres
2017","Distribución - Mujeres
2016","Distribución - Mujeres
2015","Distribución - Mujeres
2014","Distribución - Mujeres
2013","Distribución - Mujeres
2012","Distribución - Mujeres
2011","Distribución - Mujeres
2010","Distribución - Hombres
Últ. año disp.","Distribución - Hombres
2020","Distribución - Hombres
2019","Distribución - Hombres
2018","Distribución - Hombres
2017","Distribución - Hombres
2016","Distribución - Hombres
2015","Distribución - Hombres
2014","Distribución - Hombres
2013","Distribución - Hombres
2012","Distribución - Hombres
2011","Distribución - Hombres
2010"
578.,ENZA ZADEN SPAIN HOLDING SL,B04505681,EL EJIDO,-2.77453975,36.7809196,31/12/2018,9,36,7022,Otras actividades de consultoría de gestión empresarial,Actividades administrativas de apoyo a las empresas del grupo.,"7,490,951",n.d.,n.d.,"7,490,951","7,173,627","7,438,738","6,115,053","5,945,975","5,760,814","5,082,004","8,314,521","6,568,127","5,838,482",n.d.,n.d.,"5,838,482","5,387,683","5,696,782","4,306,362","4,187,110","4,201,679","3,735,655","7,098,962","5,485,446",42.96,n.d.,n.d.,42.96,40.85,44.21,32.85,39.05,39.49,33.53,61.94,47.49,49.45,n.d.,n.d.,49.45,45.88,48.77,36.50,43.93,43.95,38.43,70.20,75.36,2.17,n.d.,n.d.,2.17,2.79,2.62,2.92,1.41,1.25,0.89,1.53,0.56,13.13,n.d.,n.d.,13.13,10.98,9.35,10.01,11.11,10.15,12.76,11.76,36.99,12,n.d.,n.d.,12,8,7,6,5,6,3,4,4,n.d.,n.d.,n.d.,n.d.,5,n.d.,n.d.,n.d.,2,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3,n.d.,n.d.,n.d.,3,3,n.d.,n.d.
579.,EPLAN SOFTWARE & SERVICES SA.,A82908807,SABADELL,2.134777,41.540133,31/12/2019,42,183,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Servicio de tecnología de la información y desarrollo de programas software.,"7,473,883",n.d.,"7,473,883","7,563,821","6,370,602","5,292,285","4,023,813","3,527,765","3,056,830","2,699,451","2,428,491","2,297,889","526,562",n.d.,"526,562","738,825","665,636","319,735","319,303","200,567","174,279","99,363","134,082","135,290",24.02,n.d.,24.02,31.05,26.87,17.83,17.74,15.42,15.28,10.97,12.93,16.21,56.32,n.d.,56.32,67.46,63.96,41.09,42.72,40.81,37.27,28.75,36.24,46.77,1.63,n.d.,1.63,1.72,1.61,1.64,1.58,1.45,1.51,1.40,1.37,1.46,57.35,n.d.,57.35,53.97,58.00,56.61,58.48,62.22,59.01,61.85,64.33,65.33,42,n.d.,42,40,39,25,21,21,21,17,18,17,10,n.d.,10,n.d.,n.d.,6,5,5,n.d.,n.d.,n.d.,n.d.,32,n.d.,32,n.d.,n.d.,19,16,16,n.d.,n.d.,n.d.,n.d.
580.,COMUNYTEK CONSULTORES SL,B83317008,MADRID,-3.6854212,40.4304879,31/12/2019,78,0,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Servicios de consultoría y desarrollo en tecnologías de la información y comunicaciones.,"7,461,774",n.d.,"7,461,774","6,456,787","5,070,623","4,334,532","4,425,100","4,291,881","3,524,690","3,271,962","2,538,757","2,401,844","781,023",n.d.,"781,023","549,440","381,241","333,517","363,727","347,401","279,236","213,361","160,382","137,364",22.31,n.d.,22.31,12.45,9.89,10.85,11.62,12.44,12.05,11.05,8.91,9.75,32.68,n.d.,32.68,20.06,15.54,15.36,19.06,22.05,20.88,18.94,16.10,16.11,3.11,n.d.,3.11,2.18,2.20,3.38,2.54,2.28,2.34,2.37,2.20,2.49,31.73,n.d.,31.73,37.96,36.38,29.34,39.04,43.58,42.28,41.68,44.68,39.46,78,n.d.,78,72,59,49,48,47,43,39,35,33,23,n.d.,23,23,n.d.,n.d.,n.d.,12,n.d.,n.d.,n.d.,n.d.,59,n.d.,59,50,n.d.,n.d.,n.d.,35,n.d.,n.d.,n.d.,n.d.
581.,EPAM SYSTEMS SPAIN SL.,B86258373,ALCOBENDAS,-3.64373916,40.53372388,31/12/2019,73,94,6202,Actividades de consultoría informática,Actividades de consultoría informática.,"7,450,858",n.d.,"7,450,858","4,541,553","2,990,859","3,324,415","20,438",n.d.,n.d.,n.d.,n.d.,n.d.,"317,271",n.d.,"317,271","229,978","340,737","79,042","1,275",n.d.,n.d.,n.d.,n.d.,n.d.,11.71,n.d.,11.71,13.21,26.53,5.46,5.64,n.d.,n.d.,n.d.,n.d.,n.d.,44.23,n.d.,44.23,45.68,107.27,132.77,132.05,n.d.,n.d.,n.d.,n.d.,n.d.,0.92,n.d.,0.92,0.89,1.29,1.04,1.04,n.d.,n.d.,n.d.,n.d.,n.d.,73.52,n.d.,73.52,71.08,75.27,95.89,95.73,n.d.,n.d.,n.d.,n.d.,n.d.,73,n.d.,73,16,2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,42,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,36,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
582.,COMM VAULT SYSTEMS SL,B84749571,MADRID,-3.69278423,40.44995887,31/03/2019,16,33,6209,Otros servicios relacionados con las tecnologías de la información y la informática,LA VENTA Y DISTRIBUCION DE SOFTWARE ASI COMO EL MANTENIMIENTO DEL MISMO CON POSTERIORIDAD A LA VENTA,"7,442,985",n.d.,n.d.,"7,442,985","6,850,754","6,106,600","4,614,087","3,649,629","3,339,256","2,489,132","2,029,707","1,149,588","168,306",n.d.,n.d.,"168,306","60,456","128,750","110,406","78,151","57,477","55,761","37,590","27,997",5.08,n.d.,n.d.,5.08,3.24,3.65,3.71,4.88,5.18,2.74,3.78,2.49,92.19,n.d.,n.d.,92.19,26.11,24.98,23.10,22.67,20.31,20.39,20.10,13.00,1.29,n.d.,n.d.,1.29,1.26,1.15,1.16,1.23,1.29,1.14,1.21,1.20,94.49,n.d.,n.d.,94.49,87.58,85.38,83.96,78.49,74.48,86.58,81.18,80.81,16,n.d.,n.d.,16,14,16,14,15,9,7,7,7,5,n.d.,n.d.,5,3,2,n.d.,n.d.,1,n.d.,n.d.,n.d.,9,n.d.,n.d.,9,11,11,n.d.,n.d.,6,n.d.,n.d.,n.d.
583.,EXPENSE REDUCTION ANALYSTS SPAIN SL,B85717577,MADRID,-3.6907423,40.45708742,31/12/2019,20,2,7022,Otras actividades de consultoría de gestión empresarial,Consultoría de reducción de gastos.,"7,438,955",n.d.,"7,438,955","7,369,005","7,217,352","6,590,572","6,479,563","5,400,956",n.d.,n.d.,"2,324,267","773,929","7,446",n.d.,"7,446","6,840","6,410","22,697","11,698","20,046",n.d.,n.d.,"17,376","-15,364",0.30,n.d.,0.30,0.34,0.30,0.98,0.80,2.12,n.d.,n.d.,2.18,-5.44,7.70,n.d.,7.70,7.51,7.45,21.00,18.99,36.18,n.d.,n.d.,-71.95,37.38,1.04,n.d.,1.04,1.05,1.04,1.05,1.04,1.06,n.d.,n.d.,0.99,0.93,96.12,n.d.,96.12,95.49,96.01,95.32,95.79,94.14,n.d.,n.d.,103.03,114.55,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
584.,IVNOSYS SOLUCIONES SOCIEDAD LIMITADA.,B98333362,PATERNA,-0.451182,39.511374,31/12/2019,75,2,7022,Otras actividades de consultoría de gestión empresarial,"Prestación de servicios de asesoría, consultoría y dirección de proyectos en el ámbito de las tecnologías de la información y las comunicaciones. Análisis, diseño, desarrollo, integración, comercialización y explotación de aplicaciones y servicios informáticos y de sistemas de información. Comercio","7,406,559",n.d.,"7,406,559","5,073,361","2,618,069","1,196,606","999,799","584,548","635,902","149,692","36,875",n.d.,"2,981,332",n.d.,"2,981,332","1,176,804","612,348","44,893","176,428","-33,376","75,051","-8,921","-17,690",n.d.,59.52,n.d.,59.52,57.09,55.60,5.60,35.05,-14.42,30.50,-15.01,-101.77,n.d.,90.12,n.d.,90.12,140.25,97.19,14.39,94.66,-101.79,125.08,-589.06,-213.47,n.d.,2.91,n.d.,2.91,1.64,2.53,1.62,1.91,1.39,1.26,0.85,1.19,n.d.,33.96,n.d.,33.96,59.29,42.79,61.11,62.97,85.84,75.62,97.45,52.33,n.d.,69,n.d.,69,44,24,16,13,10,6,2,2,n.d.,n.d.,n.d.,n.d.,n.d.,15,n.d.,n.d.,n.d.,5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,19,n.d.,n.d.,n.d.,4,n.d.,n.d.,n.d.
585.,INGENIERIA EN INTEGRACION DE SISTEMAS DE INFORMACION SOCIEDAD ANONIMA,A95066296,BILBAO,-2.93060521,43.26195935,31/12/2018,47,0,6202,Actividades de consultoría informática,"Gestión de consultoría informática, venta de licencias y mantenimiento de las mismas.","7,395,517",n.d.,n.d.,"7,395,517","6,654,273","4,052,511","3,946,693","3,395,253","2,846,809","4,102,341","3,942,370","4,179,422","65,900",n.d.,n.d.,"65,900","60,793","25,233","19,408","16,393","1,935",939,"16,412","-98,299",2.07,n.d.,n.d.,2.07,2.70,1.97,1.06,-1.51,0.17,0.08,1.28,-5.10,6.39,n.d.,n.d.,6.39,7.51,3.92,2.60,-2.99,0.27,0.13,2.28,-11.57,1.36,n.d.,n.d.,1.36,1.47,1.79,1.50,1.78,2.55,2.17,2.02,1.61,67.64,n.d.,n.d.,67.64,64.05,49.75,59.26,49.63,35.04,41.17,43.98,55.94,46,n.d.,n.d.,46,49,45,39,34,34,42,47,55,21,n.d.,n.d.,21,n.d.,n.d.,n.d.,17,17,n.d.,21,n.d.,26,n.d.,n.d.,26,n.d.,n.d.,n.d.,17,17,n.d.,24,n.d.
586.,WODEN MANAGEMENT SL,B76014463,TELDE,-15.382264,27.976951,31/12/2019,50,7,7022,Otras actividades de consultoría de gestión empresarial,"LA REALIZACION DE INVESTIGACION DE ESTUDIOS DE MERCADOS, MARKETING Y OPINION. LA ACTIVIDAD DE ASESORAMIENTO, DIRECCION Y GESTION EMPRESARIAL. LA CREACION Y REALIZACION DE CAMPANAS PUBLICITARIAS.","7,387,566",n.d.,"7,387,566","6,177,768","7,115,059","7,572,977","7,298,723","5,947,871","3,145,151","1,860,921","4,492,719","4,369,016","1,443,447",n.d.,"1,443,447","1,088,036","1,190,423","495,530","2,828,043","1,339,559","1,762,290","649,697","3,463,373","3,531,211",17.20,n.d.,17.20,19.88,24.35,10.84,56.87,10.76,18.45,7.81,38.14,99.28,23.73,n.d.,23.73,21.29,27.32,11.72,65.28,13.57,20.37,9.54,50.97,101.47,9.14,n.d.,9.14,11.65,8.84,13.74,8.15,2.41,5.91,2.60,4.51,24.50,27.53,n.d.,27.53,6.64,10.85,7.55,12.87,20.69,9.41,18.13,25.17,2.15,50,n.d.,50,47,42,41,42,41,22,23,21,24,51,n.d.,51,39,33,n.d.,32,32,n.d.,n.d.,n.d.,n.d.,16,n.d.,16,15,15,n.d.,16,14,n.d.,n.d.,n.d.,n.d.
587.,PLUG & GO ARQUITECTURA CORPORATIVA SL.,B87054524,MADRID,-3.6651721,40.48677616,31/12/2019,5,0,7022,Otras actividades de consultoría de gestión empresarial,SERVICIOS COMERCIALES A EMPRESAS. AGENTES COMERCIALES. VENTA DE MOBILIARIO DE OFICINA DE PRIMERA Y SEGUNDA MANO. IMPLANTACION DE OFICINAS. INTERMEDIACION EN SERVICIOS TECNICOS DE ARQUITECTURA,"7,383,560",n.d.,"7,383,560","4,132,116","1,851,925","2,485,728","1,037,518","41,626",n.d.,n.d.,n.d.,n.d.,"808,727",n.d.,"808,727","56,073","80,631","231,336","14,117",-439,n.d.,n.d.,n.d.,n.d.,37.51,n.d.,37.51,3.55,10.56,34.35,7.55,-1.79,n.d.,n.d.,n.d.,n.d.,90.54,n.d.,90.54,19.85,32.75,124.14,111.31,-16.50,n.d.,n.d.,n.d.,n.d.,1.70,n.d.,1.70,1.21,1.47,1.37,1.01,1.12,n.d.,n.d.,n.d.,n.d.,58.57,n.d.,58.57,82.10,67.76,72.33,93.22,89.18,n.d.,n.d.,n.d.,n.d.,5,n.d.,5,4,2,1,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
588.,ADFORM SOFTWARE SPAIN SL.,B86508652,MADRID,-3.69951628,40.41794231,31/12/2018,10,15,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Servicios de tecnologías de publicidad y marketing,"7,364,888",n.d.,n.d.,"7,364,888","4,003,916","3,806,649","2,741,300","1,489,741","189,336",n.d.,n.d.,n.d.,"50,326",n.d.,n.d.,"50,326","17,787","22,078","14,968",362,"6,087",n.d.,n.d.,n.d.,1.06,n.d.,n.d.,1.06,0.86,1.06,1.73,0.27,12.53,n.d.,n.d.,n.d.,140.16,n.d.,n.d.,140.16,167.80,66.25,109.83,26.62,95.69,n.d.,n.d.,n.d.,1.00,n.d.,n.d.,1.00,1.00,1.01,1.00,0.97,0.99,n.d.,n.d.,n.d.,99.24,n.d.,n.d.,99.24,99.49,98.40,98.42,98.99,86.91,n.d.,n.d.,n.d.,13,n.d.,n.d.,13,12,11,9,6,2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
589.,MOLI VELL FAMILY OFFICE S.L.,B66044835,BARCELONA,2.13455588,41.39370572,21/12/2019,20,29,7022,Otras actividades de consultoría de gestión empresarial,"LA COMPRA, SUSCRIPCION, TENENCIA, ADMINISTRACION, PERMUTA Y ENAJENACION DE TODA CLASE DE VALORES MOBILIARIOS Y PARTICIPACIONES, NACIONALES Y EXTRANJEROS, POR CUENTA PROPIA, CON LA FINALIDAD DE DIRIGIR Y ADMINISTRAR Y GESTIONAR, ETC","7,362,400",n.d.,"7,362,400","27,526","28,286","28,286","27,917","32,704","27,188",n.d.,n.d.,n.d.,"7,345,268",n.d.,"7,345,268","7,372,917","2,259,237","3,672,054","2,497,407","19,622,024","2,917,975",n.d.,n.d.,n.d.,62.29,n.d.,62.29,9.14,3.05,5.01,2.95,22.58,3.29,n.d.,n.d.,n.d.,62.35,n.d.,62.35,9.14,3.05,5.01,2.95,23.65,4.17,n.d.,n.d.,n.d.,"1,202.54",n.d.,"1,202.54","4,067.65","1,477.72","1,093.62",71.17,1.47,0.03,n.d.,n.d.,n.d.,0.11,n.d.,0.11,0.00,0.03,0.01,0.05,4.54,21.24,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
590.,ALTAIR SOFTWARE AND SERVICES SL,B86112281,MADRID,-3.63308148,40.43142271,31/12/2018,50,46,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Distribución de software de ingeniería.,"7,354,477",n.d.,n.d.,"7,354,477","3,460,775","2,832,513","2,495,624","1,942,033","1,457,842","1,467,978","506,082",n.d.,"834,653",n.d.,n.d.,"834,653","10,768","10,582","100,232","52,546","9,591","86,917","-82,029",n.d.,12.32,n.d.,n.d.,12.32,-1.25,-0.35,8.30,6.83,1.46,10.06,-14.12,n.d.,24.61,n.d.,n.d.,24.61,-16.40,-3.45,82.22,105.11,88.40,"1,574.07",148.28,n.d.,1.74,n.d.,n.d.,1.74,0.97,1.04,1.02,0.98,0.97,0.96,0.86,n.d.,49.96,n.d.,n.d.,49.96,92.35,89.95,89.91,93.50,98.35,99.36,109.52,n.d.,36,n.d.,n.d.,36,27,16,12,9,6,5,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
591.,DESIGNIT SPAIN DIGITAL SL.,B86084233,MADRID,-3.70885463,40.43752397,31/03/2017,72,182,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Consultoria estratégica.,"7,353,831",n.d.,n.d.,n.d.,n.d.,"7,353,831","2,095,894","4,867,293","4,629,161","3,940,383","3,683,837",n.d.,"120,535",n.d.,n.d.,n.d.,n.d.,"120,535","122,604","33,949","72,770","343,663","377,298",n.d.,9.73,n.d.,n.d.,n.d.,n.d.,9.73,3.49,1.30,4.01,17.97,10.16,n.d.,25.55,n.d.,n.d.,n.d.,n.d.,25.55,11.46,7.55,18.27,40.76,27.13,n.d.,2.42,n.d.,n.d.,n.d.,n.d.,2.42,3.21,0.98,1.14,1.60,1.79,n.d.,61.93,n.d.,n.d.,n.d.,n.d.,61.93,69.53,82.84,78.06,55.91,62.54,n.d.,72,n.d.,n.d.,n.d.,n.d.,72,85,53,54,45,35,n.d.,41,n.d.,n.d.,n.d.,n.d.,41,38,n.d.,28,n.d.,n.d.,n.d.,44,n.d.,n.d.,n.d.,n.d.,44,43,n.d.,32,n.d.,n.d.,n.d.
592.,MORNINGSTAR NETWORK SLU,B82777087,MADRID,-3.67990682,40.43761292,31/12/2019,40,92,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Servicios de consultoría informática.,"7,322,507",n.d.,"7,322,507","6,164,050","5,020,066","3,809,932","3,391,119","2,911,327","3,143,754","3,225,454","3,409,428","2,861,368","554,233",n.d.,"554,233","629,259","579,460","425,686","290,546","-60,999","396,943","-124,719","-16,246","-189,668",8.50,n.d.,8.50,6.57,8.77,7.23,6.64,-1.40,9.74,-3.25,-0.39,-3.75,13.03,n.d.,13.03,11.63,14.37,12.42,10.52,-2.21,14.47,-5.14,-0.64,-7.39,2.50,n.d.,2.50,1.97,2.16,1.98,2.12,2.01,2.16,1.79,1.72,1.33,34.81,n.d.,34.81,43.52,38.97,41.82,36.92,36.58,32.72,36.75,38.94,49.25,40,n.d.,40,32,26,18,20,24,23,23,22,18,18,n.d.,18,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,32,n.d.,32,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
593.,LLORENS Y ASOCIADOS SL,B59355552,BARCELONA,2.15320232,41.38161534,31/12/2018,24,0,7022,Otras actividades de consultoría de gestión empresarial,Servicios de gestión administrativas con departamento de tráfico.,"7,301,099",n.d.,n.d.,"7,301,099","6,400,926","6,091,559","7,397,503","7,073,817","6,156,816","4,847,003","4,637,892","5,050,012","121,957",n.d.,n.d.,"121,957","103,753","74,935","68,899","36,538","11,835","19,560","6,859","-18,246",6.57,n.d.,n.d.,6.57,6.30,6.01,5.09,2.63,1.05,1.84,0.74,-1.97,25.50,n.d.,n.d.,25.50,22.48,19.38,20.85,12.96,3.57,6.05,2.26,-6.15,1.33,n.d.,n.d.,1.33,1.37,1.44,1.38,1.22,1.37,1.39,1.46,1.52,74.22,n.d.,n.d.,74.22,71.99,68.97,75.60,79.72,70.65,69.65,67.07,68.00,24,n.d.,n.d.,24,24,24,22,25,16,19,18,18,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
594.,CORPFIN CAPITAL ASESORES SA SGEIC.,A81604118,MADRID,-3.68695127,40.43159329,31/12/2018,19,15,7022,Otras actividades de consultoría de gestión empresarial,Capital riesgo (compra-venta de empresas),"7,297,705",n.d.,n.d.,"7,297,705","7,267,931","6,953,866","10,743,135","4,554,123","3,488,146","4,104,812","5,759,869","5,708,382","353,036",n.d.,n.d.,"353,036","550,223","1,512,327","2,412,735","358,255","-334,488","26,082","68,822","846,227",33.61,n.d.,n.d.,33.61,56.73,127.73,95.04,20.41,-14.26,1.70,3.51,45.53,66.34,n.d.,n.d.,66.34,105.96,314.30,379.16,84.84,-73.42,2.96,5.92,72.06,1.78,n.d.,n.d.,1.78,1.81,1.50,1.26,1.21,1.08,2.27,2.12,1.88,49.33,n.d.,n.d.,49.33,46.46,59.36,74.93,75.94,80.57,42.39,40.81,36.82,19,n.d.,n.d.,19,18,18,17,16,19,19,18,18,9,n.d.,n.d.,9,7,n.d.,n.d.,n.d.,6,7,n.d.,n.d.,10,n.d.,n.d.,10,11,n.d.,n.d.,n.d.,11,12,n.d.,n.d.
595.,IZO SYSTEM SA,A81669616,ALCOBENDAS,-3.64235769,40.53531873,31/12/2019,50,,7022,Otras actividades de consultoría de gestión empresarial,Consultoría de estudios de mercado.,"7,287,947",n.d.,"7,287,947","6,854,790","6,085,587","5,740,550","5,410,189","5,112,761","6,299,006","9,638,322","8,662,510","8,155,447","174,013",n.d.,"174,013","154,115","138,092","106,213","112,839","106,342","89,652","154,975","147,981","130,540",4.40,n.d.,4.40,3.31,2.81,2.10,1.85,1.64,1.37,1.73,1.61,2.80,15.48,n.d.,15.48,8.71,8.35,6.85,6.51,6.08,5.14,9.35,9.80,13.93,1.14,n.d.,1.14,1.44,1.30,1.26,1.12,1.09,0.96,0.86,1.01,0.97,71.56,n.d.,71.56,61.93,66.35,69.26,71.61,73.02,73.46,81.50,83.59,79.87,60,n.d.,60,53,56,50,47,40,50,47,45,60,33,n.d.,33,32,31,29,29,24,24,20,20,22,27,n.d.,27,21,23,21,18,16,29,30,33,38
596.,EVALUE INNOVACION SL,B98151525,VALENCIA,-0.36811527,39.46972893,31/12/2019,50,3,7022,Otras actividades de consultoría de gestión empresarial,"Consulta y asesoramiento en ayudas ,subvenciones.","7,274,343",n.d.,"7,274,343","5,962,989","5,321,747","5,201,730","4,567,679","3,761,233","1,823,837","1,324,832","1,198,891","732,346","2,377,716",n.d.,"2,377,716","1,717,985","788,581","519,294","474,356","804,955","169,173","313,625","301,257","104,171",37.85,n.d.,37.85,41.54,25.56,18.76,19.80,41.99,25.82,38.92,50.22,35.69,77.78,n.d.,77.78,87.77,41.80,34.53,40.99,102.24,94.31,71.29,90.93,97.44,3.01,n.d.,3.01,2.86,3.42,2.42,2.38,1.66,1.04,2.13,2.05,1.55,51.34,n.d.,51.34,52.67,38.84,45.67,51.70,58.93,72.62,45.40,44.77,63.37,54,n.d.,54,47,41,43,34,22,12,11,9,4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,18,7,6,n.d.,3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,12,6,6,n.d.,1
597.,QUANTUM SOLUTIONS EMERGING MARKETS SL.,B85738037,MADRID,-3.69101186,40.41826746,31/12/2018,13,7,7022,Otras actividades de consultoría de gestión empresarial,Consultoría en general,"7,265,788",n.d.,n.d.,"7,265,788","13,102,791","9,855,191","7,279,262","4,214,728","2,620,094","8,353,791","1,544,621","1,034,414","709,693",n.d.,n.d.,"709,693","691,580","137,202","44,706","87,451","73,540","75,133","-207,702","-172,724",3.51,n.d.,n.d.,3.51,6.72,3.13,1.54,1.13,1.28,2.63,-9.91,-22.04,57.87,n.d.,n.d.,57.87,54.85,60.67,24.26,22.57,24.51,16.78,-55.75,-29.77,1.07,n.d.,n.d.,1.07,1.17,1.05,1.11,1.10,1.15,1.69,1.29,2.80,93.94,n.d.,n.d.,93.94,87.74,94.84,93.67,94.98,94.76,84.30,82.22,25.94,14,n.d.,n.d.,14,13,14,12,11,10,9,7,6,6,n.d.,n.d.,6,6,n.d.,n.d.,n.d.,n.d.,n.d.,4,n.d.,12,n.d.,n.d.,12,7,n.d.,n.d.,n.d.,n.d.,n.d.,5,n.d.
